PDB PocketNumber Pocket_Score Drug_Score Number_of_V._Vertices Mean_alpha-sphere_radius Mean_alpha-sphere_SA Mean_B-factor Hydrophobicity_Score Polarity_Score Volume_Score Real_volume Charge_Score Local_hydrophobic_density_Score Number_of_apolar_alpha_sphere Proportion_of_apolar_alpha_sphere SASA AlphaHelix Coil Strand Turn Bridge Helix310
5VX1 0 33.3488 0.4629 55 5.0069 0.5955 0.2337 19.3333 4 4.0000 1048.5270 -3 23.9231 26 0.4727 724.6 4 2 0 2 0 1
5VX1 1 24.7407 0.0165 46 4.8936 0.5657 0.2598 -7.3636 5 3.2727 704.2459 -1 2.0000 3 0.0652 485.9 5 2 0 2 0 0
5VX1 2 20.8163 0.2188 37 4.6585 0.5514 0.2764 31.9231 6 4.2308 858.3845 2 14.0000 15 0.4054 745.8 7 3 0 0 0 2
5W1N 0 34.4259 0.5343 47 4.6821 0.5799 0.3023 34.9231 7 4.3846 985.1088 2 14.9412 17 0.3617 660.2 0 4 6 2 0 0
5W1N 1 25.1200 0.0497 41 4.5368 0.5547 0.1672 38.6364 5 4.0909 584.0013 1 4.0000 5 0.1220 464 0 0 9 2 0 0
5WSD 0 41.5108 0.5823 44 4.6383 0.4782 0.2538 7.7647 10 3.5294 695.0800 -2 22.0000 24 0.5455 551.4 0 3 11 1 0 1
5XAV 0 26.5588 0.0178 69 4.8354 0.4733 0.4148 1.1250 8 3.3125 1441.4979 -5 7.0000 12 0.1739 1165 10 3 0 2 0 1
5XAV 1 23.3319 0.0556 45 4.8200 0.4799 0.4304 12.0000 10 4.5333 1089.0574 6 18.9000 20 0.4444 1129.1 6 5 0 3 0 1
5XAV 2 21.3941 0.7622 51 4.5704 0.5259 0.4374 51.7143 2 4.7143 974.2407 1 43.7959 49 0.9608 709.4 4 2 0 2 0 0
5XAV 3 20.7835 0.0298 47 4.6486 0.4840 0.4617 18.2500 8 3.8750 803.6651 4 6.7500 8 0.1702 763.1 4 5 0 4 0 3
5XAV 4 13.0831 0.0072 40 4.6826 0.5425 0.3549 -7.5455 5 3.0909 817.6459 -3 2.5000 4 0.1000 727.6 5 3 0 2 0 1
5XAV 5 11.2180 0.0125 37 4.7219 0.6600 0.0519 22.2222 3 4.0000 788.2555 -1 9.0000 10 0.2703 613.4 2 2 2 1 0 2
5XBC 0 32.1935 0.7968 63 4.4458 0.5242 0.1292 30.6667 8 3.8667 1272.1029 0 29.0233 43 0.6825 873.1 6 1 6 2 0 0
5XBC 1 21.8492 0.0109 51 4.7121 0.4270 0.6007 9.1250 3 4.0000 1009.2363 -1 11.7143 14 0.2745 758 0 2 3 3 0 0
5XBU 0 40.9854 0.4912 53 4.8986 0.7314 0.3618 9.6000 11 3.8667 1178.5958 1 10.7692 13 0.2453 591.5 0 5 0 6 0 0
5XBU 1 28.8551 0.0420 46 4.7377 0.5812 0.3743 11.6875 13 5.2500 1285.5220 7 2.6667 6 0.1304 649.3 2 4 2 5 0 0
5XCY 0 49.3634 0.5646 134 4.5668 0.4268 0.2982 5.0000 23 4.1290 1631.2650 5 22.4737 38 0.2836 704.8 3 3 3 13 0 0
5XCY 1 8.2739 0.3268 41 4.6942 0.6994 0.4226 65.4444 2 4.2222 744.6255 0 13.0000 14 0.3415 374.2 6 0 0 0 0 0
5YDE 0 33.4726 0.3787 37 4.7020 0.6229 0.0968 13.2500 5 4.0000 1241.3506 1 21.7391 23 0.6216 637.7 5 0 0 2 0 1
5YKR 0 33.1897 0.0326 52 4.6943 0.5795 0.3227 -15.4667 12 3.8000 1480.2510 -2 8.7273 11 0.2115 812.6 5 1 2 7 0 0
5YKR 1 28.6739 0.0102 55 4.7939 0.5751 0.2399 2.0769 6 3.0000 1011.9481 -1 7.0000 8 0.1455 704.7 11 0 1 0 1 0
5YKR 2 26.9182 0.0125 43 4.3525 0.4269 0.2074 -8.6923 8 4.2308 580.5875 1 7.0000 8 0.1860 489.9 2 4 0 7 0 0
5YKR 3 24.3078 0.0137 45 4.6664 0.6421 0.1683 12.3333 5 3.5000 796.7548 -2 9.0000 10 0.2222 716.4 9 3 0 0 0 0
5YKR 4 22.2237 0.0113 36 4.3386 0.4237 0.1939 -8.6923 8 4.2308 551.9618 1 5.0000 6 0.1667 482 2 4 0 7 0 0
5YKR 5 14.3528 0.0124 36 4.8253 0.6566 0.1107 24.0833 3 3.1667 866.0798 -1 3.0000 4 0.1111 676.7 4 1 5 1 0 1
5Z8P 0 35.3253 0.9562 57 4.6162 0.4807 0.1493 53.4118 6 4.0588 783.6775 1 46.3673 49 0.8596 589.8 11 0 0 2 1 0
5Z8P 1 29.6543 0.5576 45 4.3101 0.5450 0.0059 38.9231 4 3.5385 262.0982 -2 40.0000 41 0.9111 189.8 7 2 0 4 0 0
6AT0 0 41.2893 0.5063 49 4.6912 0.5825 0.0604 -7.8000 7 3.3000 572.5258 -4 18.0000 19 0.3878 857.8 0 4 3 1 0 1
6AVX 0 35.5304 0.6339 38 4.8910 0.5591 0.3669 37.3571 7 3.7143 1011.2625 1 14.3750 16 0.4211 713.4 4 5 0 4 0 1
6B9X 0 35.6276 0.2888 77 4.8585 0.5768 0.1658 -5.0000 15 3.9048 1842.1749 0 16.8333 24 0.3117 1102.8 4 1 9 5 0 2
6B9X 1 26.9514 0.0339 59 4.8095 0.5058 0.4587 13.7500 6 4.4167 955.5043 0 12.8571 14 0.2373 847.3 7 1 0 5 0 0
6B9X 2 23.5262 0.0293 42 4.7438 0.6145 0.1542 8.5833 8 3.9167 802.2365 0 12.0000 13 0.3095 734.8 1 5 4 2 0 0
6B9X 3 21.3094 0.6268 40 4.7540 0.4522 0.4555 39.6364 6 4.5455 991.8679 3 20.0000 21 0.5250 1042.4 5 2 0 4 0 0
6B9X 4 20.2921 0.0862 41 4.6268 0.5695 0.2730 34.0000 9 4.2000 872.7440 0 11.0000 16 0.3902 814.8 4 0 5 6 0 0
6BCD 0 37.4815 0.6804 43 4.7223 0.4832 0.4803 26.9286 8 4.0000 960.4583 1 13.0000 16 0.3721 964.4 2 4 1 3 0 0
6BIO 0 31.2946 0.0312 45 4.6490 0.4849 0.0692 -2.8824 11 3.5882 885.7222 -1 5.5556 9 0.2000 1008.5 0 9 5 3 0 0
6BJJ 0 40.0905 0.7472 105 4.8520 0.5115 0.4800 25.9615 14 4.4615 1974.9807 0 43.6452 62 0.5905 1469.2 13 3 8 1 0 0
6BJJ 1 15.3735 0.0188 55 4.8849 0.6392 0.3111 18.3333 8 3.9333 1280.4396 2 12.9333 15 0.2727 1126.5 3 5 0 7 0 0
6BLM 0 33.8609 0.2496 38 4.7775 0.5273 0.3739 7.2000 3 3.0000 684.5093 0 18.0000 19 0.5000 600 1 7 1 0 0 1
6BLM 1 29.7056 0.2033 41 4.4662 0.4481 0.4711 3.6364 2 2.8182 798.5686 -1 18.5000 20 0.4878 760.4 0 5 5 0 0 3
6CAF 0 38.7598 0.4603 36 4.5583 0.6162 0.1107 6.4545 8 4.1818 763.5621 0 11.0000 12 0.3333 430.2 0 3 0 1 2 3
6CAF 1 28.8311 0.0084 36 4.6390 0.5303 0.0527 -0.2500 4 3.3750 675.4353 0 2.0000 3 0.0833 526.5 5 1 0 1 0 0
6CHX 0 36.6801 0.4898 36 4.6508 0.4600 0.4807 6.6000 7 4.4000 431.3141 2 11.0000 12 0.3333 587.2 1 2 2 5 0 0
6CHX 1 30.8598 0.0869 45 4.9782 0.7159 0.4685 6.2143 8 3.4286 1479.5581 -3 6.6000 10 0.2222 782.7 4 4 0 5 1 0
6DNM 0 36.2633 0.3284 48 4.6482 0.5375 0.2730 6.0000 5 3.0909 769.7753 1 28.0000 29 0.6042 687.2 9 1 0 1 0 0
6DNO 0 34.8225 0.0362 52 4.8031 0.5227 0.1455 3.2353 10 4.2353 828.9615 -2 8.0000 9 0.1731 888.5 0 3 2 10 0 0
6DNO 1 34.4386 0.5982 41 4.8285 0.6227 0.3795 28.1429 7 4.3571 569.1933 2 25.0000 26 0.6341 473.2 4 1 0 9 0 0
6E+028 0 27.7091 0.0208 43 4.8607 0.4560 0.4371 8.9000 4 3.7000 1073.6847 -2 6.0000 8 0.1860 1125.1 11 0 0 0 0 2
6ELM 0 35.9961 0.3467 37 4.5785 0.4574 0.4003 -0.5556 6 3.2222 773.3573 1 13.0000 14 0.3784 821.4 1 6 2 0 0 0
6F0Q 0 50.1025 0.9832 53 5.0656 0.7083 0.0640 78.3333 12 6.0000 370.6280 0 19.0000 20 0.3774 146.2 0 0 13 0 0 0
6F4I 0 34.7126 0.6257 40 4.7813 0.7038 0.2627 13.5000 4 3.1250 819.6779 1 25.9259 27 0.6750 711.9 4 0 4 0 0 0
6F54 0 38.6304 0.9716 38 4.5896 0.4545 0.2821 59.4167 6 5.0000 504.5319 0 29.0000 30 0.7895 383 6 1 4 1 0 0
6F54 1 28.5366 0.0840 36 4.8587 0.7119 0.1591 23.4444 5 4.3333 977.4567 -3 16.0000 17 0.4722 797.7 4 2 0 3 0 0
6FC0 0 35.1829 0.4880 43 4.9620 0.5727 0.4388 38.3077 7 4.3846 1036.1187 2 12.8571 14 0.3256 825.7 2 3 2 6 0 0
6FDG 0 36.9608 0.6418 111 4.9753 0.5190 0.2453 15.3600 16 3.5200 2254.9497 4 37.1154 52 0.4685 1597.4 3 6 6 10 0 0
6FDG 1 24.8107 0.0183 122 4.6334 0.5113 0.1953 16.3684 10 3.2632 2043.3413 0 8.0000 13 0.1066 1553.5 10 4 12 3 0 0
6FDG 2 20.8639 0.0612 80 4.8285 0.5521 0.2461 18.4167 14 3.5417 1755.0717 2 18.4667 30 0.3750 1553.1 3 6 5 9 1 0
6FDG 3 19.3859 0.0130 98 4.5304 0.4780 0.1247 6.6250 10 3.3125 1921.7124 0 6.2222 9 0.0918 1394.9 7 3 14 1 0 0
6FDG 4 14.0103 0.0295 54 4.6605 0.4901 0.2871 18.0000 12 3.6500 1038.1051 2 11.8462 13 0.2407 1244.8 1 5 5 7 1 0
6FDG 5 12.7838 0.0365 48 4.6475 0.5157 0.3474 24.4500 11 3.7500 1320.8707 3 13.6471 17 0.3542 1214.7 1 5 5 7 2 0
6FDG 6 10.9457 0.0095 64 5.0740 0.5555 0.4161 14.7500 5 3.6250 1510.4253 1 9.3333 12 0.1875 1031.6 1 0 0 13 0 0
6FDG 7 8.1496 0.0040 61 4.8313 0.4952 0.0000 -14.0000 3 3.4000 770.2814 0 1.5000 4 0.0656 511.2 4 4 0 0 0 12
6FTH 0 33.9397 0.0937 103 5.0351 0.5820 0.1611 4.2000 11 4.0000 1701.4037 -1 17.1200 25 0.2427 888.1 9 2 2 5 0 2
6FTH 1 23.0559 0.7953 40 4.8110 0.5252 0.1942 34.2353 10 4.2941 641.1854 3 27.4483 29 0.7250 581.7 8 4 1 3 0 1
6FXD 0 32.0582 0.2543 92 4.5909 0.4821 0.2310 25.7895 10 3.8421 1648.4442 0 15.6552 29 0.3152 1554.2 7 7 5 0 0 0
6FXD 1 17.3571 0.5692 46 4.4105 0.4756 0.2069 39.8667 4 3.8000 743.0259 -1 21.8519 27 0.5870 648.4 7 0 6 0 0 2
6FXD 2 13.6378 0.4863 37 4.8224 0.5220 0.5527 36.0000 2 3.0000 926.0908 1 23.0000 24 0.6486 661.4 4 0 3 2 0 2
6FXD 3 12.3270 0.1509 39 4.5140 0.4390 0.2824 33.6667 3 3.0833 768.2208 2 17.2632 19 0.4872 802.7 4 1 3 2 0 2
6GGP 0 31.4481 0.0993 39 4.8354 0.5345 0.3212 18.0833 8 3.9167 976.2827 0 12.6000 20 0.5128 583.4 0 0 3 7 0 0
6IBD 0 30.8646 0.0527 45 4.4863 0.4368 0.1175 18.6471 9 3.4118 763.7609 -2 4.0000 5 0.1111 1030.6 0 1 2 12 0 0
6IBD 1 23.8614 0.0233 39 4.9622 0.6044 0.1354 32.2000 3 3.5000 853.2325 1 4.0000 5 0.1282 638.5 3 4 1 1 1 0
6IBD 2 21.0942 0.0628 36 4.5586 0.5655 0.1073 41.9091 1 3.5455 766.1545 -1 10.0000 11 0.3056 785.5 0 1 5 4 0 0
6NZS 0 46.8693 0.6660 98 4.7267 0.5168 0.3156 18.0000 17 4.5417 1570.4938 0 27.6000 30 0.3061 997.5 0 7 4 13 0 0
